0ad0faf8049b312cb58cbbd812a5365e4d73fc45	py_like_txt	text/plain	"""Video DeepResearch agent framework (vLLM Qwen3-VL research + OpenAI-compatible critic)."""  from video_dr_agent.critic_context import CriticContext 
132e50b47e3615e59194264f2d57816229ce1058	py_like_txt	text/plain	--- name: Video DeepResearch 框架 overview: 在 `rsagent` 下新增轻量、解耦的 Video DeepResearch 主循环包：**Research 走本地 vLLM 部署的 Qwen3-VL**（OpenAI �
1d5e185a812d70b40a5614828c9c76ee06b1b893	py_like_txt	text/plain	"""Video DeepResearch agent framework (vLLM Qwen3-VL research + OpenAI-compatible critic)."""  from video_dr_agent.critic_context import CriticContext 
2894419425eeeae5830ec37a115f8186c1fa347e	py_like_txt	text/plain	""" Critic system prompt and staged user-prompt templates (deep research: FOCUS + web search + Jina). """ 
2f1d12674b6e156518cb2d98c6881139ad8d61bf	py_like_txt	text/plain	"""Placeholder tool / critic implementations."""  from __future__ import annotations 
30b31cae990cdfdbf117e73ca9adff7bafbf34da	py_like_txt	text/plain	""" 示例工具：`ToolDispatcher` 的最小实现模板。  
370ee47fff92c931ea018bf726c89236b4cec527	py	text/x-script.python	#!/usr/bin/env python3 """ CLI entry for video_dr_agent. 
4d9cba22c30e724e30d3f620e26f671636dd151a	py_like_txt	text/plain	""" Run ``test_data_frame/uniform_sample_frames.py`` before the research loop when configured. """ 
6441dafe2bcc5b982291f89f2f36348172705a06	sh	text/x-shellscript	#!/bin/bash  # FOCUS Keyframe Extraction Example Script 
6600c5bf84c98f677b79ebbbfcb227bfa7f6b5cb	py_like_txt	text/plain	--- name: rsagent-v2 流程与 Critic 改造 overview: 在 [rsagent-v2](/mnt/sda/Projects/video-deep-research/rsagent-v2) 中：以**强制「详细 Research Plan → 再按计划�
680e1119ad4dacd26f0fb93b7eca5e07c0e52402	sh	text/x-shellscript	#!/usr/bin/env bash # 在已配置好的 AKS conda 环境中跑 1 条 LongVideoBench 样本（FOCUS 目录下已含 datasets/longvideobench_smoke） set -euo pipefail 
6c0d2f4d857600ca275e20a779a48f27bb72b1bc	py_like_txt	text/plain	""" Run ``test_data_frame/uniform_sample_frames.py`` before the research loop when configured. """ 
6c2ea8f61f38105973d87027cb73da849996877c	py_like_txt	text/plain	"""Research-side message buffer: prompt, research assistants, critic user feedback only."""  from __future__ import annotations 
75a47a3006a3fc3481716f8200b83ef2b0c0ef83	py_like_txt	text/plain	"""Parse <tool_call> blocks (VDR-style)."""  from __future__ import annotations 
7c07d5cdabd2c1680e91910446f50b381f90f554	py	text/x-script.python	#!/usr/bin/env python3 """ Offline smoke: core ``run_loop`` + stub tools/critic + trace JSON (no vLLM). 
7ed8bd197792149d7e258884fb5b409015ef0126	py	text/x-script.python	#!/usr/bin/env python3 """ 将 FOCUS 筛选结果整理到独立子目录： 
7ff8553e66f2df80e721604d4316c6661f47f869	py_like_txt	text/plain	""" Critic system prompt and staged user-prompt templates (deep research: FOCUS + web search + Jina).  
823ea7a0bd55199143571bb1c1be156d0897d9e2	py	text/x-script.python	#!/usr/bin/env python3 """ Lightweight checks that the Video DeepResearch stack imports and wires correctly: 
82e37a41735c3441622547bec1574fed51dec00f	py_like_txt	text/plain	""" Main research loop (Video DeepResearch plan).  
902b13ccfa02c550fe05ddac03e791884ce74b84	py_like_txt	text/plain	""" Protocols for Video DeepResearch (see repo plan: research/critic separation).  
91088d8981ad943901256c6b6620471e77b8c6df	py_like_txt	text/plain	.env __pycache__/ *.pyc 
93007a68977eea4336b86bf68e928b83ae52b26d	py_like_txt	text/plain	"""Research-side message buffer: prompt, research assistants, critic user feedback only."""  from __future__ import annotations 
9a7b01fe3dfba90eeff6641b8159404c60fbfbc0	py	text/x-script.python	#!/usr/bin/env python3 """ CLI entry for video_dr_agent. 
